+-----------------------------------------------------+-----------------+---------+
|                        State                        |      Action     | Q-Value |
+-----------------------------------------------------+-----------------+---------+
| (3, 1, 0, False, False, False, False, False, False) |   Actions.DOWN  |  -0.92  |
| (4, 1, 0, False, False, False, False, False, False) |  Actions.PICKUP |  12.72  |
| (4, 1, 1, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.34  |
| (4, 2, 1, False, False, False, False, False, False) |   Actions.LEFT  |  -1.47  |
| (4, 1, 1, False, False, False, False, False, False) |    Actions.UP   |  -1.43  |
| (3, 1, 1, False, False, False, False, False, False) |    Actions.UP   |  -1.26  |
| (2, 1, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.39  |
| (3, 1, 1, False, False, False, False, False, False) |   Actions.LEFT  |  -1.07  |
| (3, 0, 1, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.27  |
| (3, 1, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.04  |
| (4, 2, 1, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.24  |
| (4, 3, 1, False, False, False, False, False, False) |    Actions.UP   |   -0.8  |
| (3, 3, 1, False, False, False, False, False, False) |  Actions.RIGHT  |   0.13  |
| (3, 4, 1, False, False, False, False, False, False) | Actions.DROPOFF |  12.83  |
| (3, 4, 0, False, False, False, False, False, False) |   Actions.DOWN  |  -1.29  |
| (4, 4, 0, False, False, False, False, False, False) |    Actions.UP   |  -1.34  |
| (4, 4, 0, False, False, False, False, False, False) |   Actions.LEFT  |  -1.48  |
| (4, 3, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.01  |
| (4, 3, 0, False, False, False, False, False, False) |   Actions.LEFT  |  -1.45  |
| (4, 2, 0, False, False, False, False, False, False) |   Actions.LEFT  |  -0.98  |
| (3, 0, 1, False, False, False, False, False, False) |    Actions.UP   |  -0.99  |
| (2, 0, 1, False, False, False, False, False, False) | Actions.DROPOFF |  12.84  |
| (2, 0, 0, False, False, False, False, False, False) |    Actions.UP   |   -1.7  |
| (1, 0, 0, False, False, False, False, False, False) |    Actions.UP   |  -1.11  |
| (0, 0, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.46  |
| (0, 1, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.07  |
| (0, 2, 0, False, False, False, False, False, False) |   Actions.DOWN  |  -1.57  |
| (1, 2, 0, False, False, False, False, False, False) |    Actions.UP   |  -1.35  |
| (0, 2, 0, False, False, False, False, False, False) |   Actions.LEFT  |  -1.43  |
|  (0, 1, 0, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (0, 0, 0, False, False, True, False, False, False) |   Actions.DOWN  |  -0.55  |
|  (1, 0, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (1, 1, 0, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (1, 0, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.34  |
|  (0, 0, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.34  |
|  (0, 1, 0, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (0, 2, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (0, 3, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (0, 4, 0, False, False, True, False, False, False) |  Actions.PICKUP |   6.63  |
|  (0, 4, 1, False, False, True, False, False, False) |   Actions.DOWN  |  -0.66  |
|  (1, 4, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.81  |
|  (1, 3, 1, False, False, True, False, False, False) |   Actions.DOWN  |  -0.96  |
|  (2, 3, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.51  |
|  (2, 2, 1, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (2, 1, 1, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (2, 2, 1, False, False, True, False, False, False) |   Actions.DOWN  |  -0.66  |
|  (3, 2, 1, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (3, 3, 1, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (3, 4, 1, False, False, True, False, False, False) | Actions.DROPOFF |   9.88  |
|  (3, 4, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.51  |
|  (2, 4, 0, False, False, True, False, False, False) |   Actions.LEFT  |  -0.88  |
|  (2, 3, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.76  |
|  (2, 3, 0, False, False, True, False, False, False) |   Actions.DOWN  |   -0.3  |
|  (3, 3, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.55  |
|  (3, 4, 0, False, False, True, False, False, False) |   Actions.DOWN  |  -0.79  |
|  (4, 4, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.62  |
|  (3, 4, 0, False, False, True, False, False, False) |   Actions.LEFT  |  -0.55  |
|  (3, 3, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.69  |
|  (2, 3, 0, False, False, True, False, False, False) |   Actions.LEFT  |  -0.51  |
|  (2, 2, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.55  |
|  (1, 2, 0, False, False, True, False, False, False) |   Actions.DOWN  |   -0.3  |
|  (2, 2, 0, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (2, 1, 0, False, False, True, False, False, False) |   Actions.LEFT  |  -0.59  |
|  (2, 0, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.51  |
|  (1, 0, 0, False, False, True, False, False, False) |   Actions.DOWN  |  -0.55  |
|  (2, 0, 0, False, False, True, False, False, False) |   Actions.DOWN  |  -0.83  |
|  (3, 0, 0, False, False, True, False, False, False) |   Actions.DOWN  |  -0.76  |
|  (4, 0, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.66  |
|  (4, 1, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (4, 2, 0, False, False, True, False, False, False) |    Actions.UP   |   -0.7  |
|  (3, 2, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.55  |
|  (4, 4, 0, False, False, True, False, False, False) |   Actions.LEFT  |  -0.69  |
|  (4, 3, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.87  |
|  (3, 3, 0, False, False, True, False, False, False) |   Actions.DOWN  |  -0.51  |
|  (2, 4, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.51  |
|  (1, 4, 0, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (1, 3, 0, False, False, True, False, False, False) |  Actions.PICKUP |   9.83  |
|  (1, 3, 1, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.34  |
|  (1, 3, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.51  |
|  (1, 2, 1, False, False, True, False, False, False) |    Actions.UP   |   -0.3  |
|  (0, 2, 1, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (0, 3, 1, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (0, 2, 1, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (0, 1, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.51  |
|  (0, 0, 1, False, False, True, False, False, False) |   Actions.DOWN  |   -0.3  |
|  (1, 0, 1, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (1, 1, 1, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (1, 2, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.34  |
|  (1, 1, 1, False, False, True, False, False, False) |    Actions.UP   |  -0.34  |
|  (0, 0, 1, False, False, True, False, False, False) | Actions.DROPOFF |   3.85  |
|  (4, 0, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.66  |
|  (3, 0, 0, False, False, True, False, False, False) |    Actions.UP   |  -0.59  |
|  (1, 1, 0, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.55  |
|  (1, 2, 0, False, False, True, False, False, False) |   Actions.LEFT  |  -0.34  |
|  (1, 2, 0, False, False, True, False, False, False) |    Actions.UP   |   -0.3  |
|  (0, 3, 0, False, False, True, False, False, False) |   Actions.DOWN  |   -0.3  |
|  (1, 3, 1, False, True, True, False, False, False)  |    Actions.UP   |  -0.51  |
|  (0, 3, 1, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.55  |
|  (0, 3, 1, False, True, True, False, False, False)  |  Actions.RIGHT  |   -0.3  |
|  (0, 4, 1, False, True, True, False, False, False)  |   Actions.DOWN  |   -0.3  |
|  (1, 4, 1, False, True, True, False, False, False)  |   Actions.LEFT  |   -0.3  |
|  (1, 3, 1, False, True, True, False, False, False)  |   Actions.DOWN  |   -0.3  |
|  (2, 3, 1, False, True, True, False, False, False)  |   Actions.LEFT  |   -0.3  |
|  (2, 2, 1, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.51  |
|  (2, 1, 1, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.51  |
|  (3, 1, 1, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.55  |
|  (3, 0, 1, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.51  |
|  (4, 0, 1, False, True, True, False, False, False)  |    Actions.UP   |   -0.7  |
|  (3, 0, 1, False, True, True, False, False, False)  |  Actions.RIGHT  |   -0.3  |
|  (3, 0, 1, False, True, True, False, False, False)  |    Actions.UP   |  -0.66  |
|  (2, 0, 1, False, True, True, False, False, False)  | Actions.DROPOFF |   9.88  |
|  (2, 0, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.73  |
|  (2, 1, 0, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.86  |
|  (2, 0, 0, False, True, True, False, False, False)  |    Actions.UP   |   -1.0  |
|  (1, 0, 0, False, True, True, False, False, False)  |    Actions.UP   |  -0.66  |
|  (0, 0, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.51  |
|  (0, 1, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.76  |
|  (0, 2, 0, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.55  |
|  (1, 2, 0, False, True, True, False, False, False)  |   Actions.DOWN  |   -0.3  |
